side_effects,count
"blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights",15
"mild dizziness or drowsiness, trouble concentrating",14
"or flushing (warmth, redness, or tingly feeling).",14
spider veins,14
"or jaundice (yellowing of the skin or eyes). Less serious side effects may be more likely, and you may have none at all.",14
"nausea, diarrhea",14
"tremor, restless muscle movements",14
"dry eyes, blurred vision, dry mouth or nose",14
increased appetite,14
"low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling",14
or dizziness .,14
or feeling nervous or restless.,14
"memory problems, confusion, unusual behavior",14
blood in your urine,14
tired feeling,14
stretch marks,14
"tiredness, itching",14
"pale skin, easy bruising or bleeding",14
sleep problems (insomnia),14
sweating,14
skin rash or hives,14
feeling nervous or irritable,14
"irregular menstrual periods, changes in sexual function",13
easy bruising or bleeding,13
"feeling weak, lightheaded, or dizzy",13
feeling like passing out,13
weak or shallow breathing,13
double vision,13
"or nausea , vomiting .",13
stomach pain,13
unusual thoughts or behavior,13
feeling very sleepy,13
a heartbeat that does not feel normal,13
a change in the pattern or severity of migraine headaches,13
"severe joint, bone, or muscle pain",13
"easy bruising, unusual bleeding, purple or red spots under your skin",13
"signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia",13
fever lasting longer than 3 days,13
or mild skin rash .,13
"nausea , stomach pain, constipation , loss of appetite",13
feeling confused,13
"upset stomach , diarrhea or constipation",13
"numbness , tingling, burning pain",13
"or pain, swelling, or blistering where the medicine was applied. Less serious side effects may be more likely, and you may have none at all.",12
"white or ""pruned"" appearance of the skin",12
"dehydration symptoms--feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin",12
or numbness in places where the medicine is accidentally applied.,12
a breast lump,12
"severe stomach pain, diarrhea that is watery or bloody",12
"flushing (sudden warmth, redness, or tingly feeling)",12
"pale skin, easy bruising, unusual bleeding",12
"swelling of your face, lips, tongue, or throat. Like other narcotic medications, codeine can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop taking this medicine and call your doctor at once if you have: noisy breathing, sighing, shallow breathing",12
"blisters or ulcers in your mouth, red or swollen gums, trouble swallowing",12
"feeling dizzy, light-headed, tired, or very weak",12
feeling cold,12
c<b,12
"headache , back pain",12
changes in weight or appetite,12
or feeling light-headed.,12
"stretch marks, thinning skin",12
"nausea , constipation",12
"mild nausea, diarrhea , upset stomach",11
problems with balance or muscle movement,11
"muscle weakness, breathing problems",11
irregular heartbeats,11
or diarrhea .,11
"trouble swallowing, difficult breathing",11
any unexplained bruising or bleeding,11
"swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: severe headache, seizure (convulsions)",11
"confusion, unusual thoughts or behavior",11
or puffy eyelids.,11
any wound that will not heal,11
mouth sores,11
a.a=b,11
or temporary hair loss .,11
or mild headache .,11
fast or irregular heartbeats,11
or swelling in your hands or feet.,11
"loss of appetite, weight loss",11
feeling tired or short of breath,11
for(d=0,11
or trouble sleeping.,11
"fever, chills, body aches, flu symptoms",11
"or decreased sex drive, impotence , or difficulty having an orgasm.",11
"dark urine, jaundice (yellowing of the skin or eyes)",11
"kidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath",11
urination problems,11
"slow wound healing, thinning skin, increased body hair",11
worsening of your skin condition,11
or itching.,11
"nausea, vomiting, stomach pain",11
"eye pain , vision problems",11
"flu symptoms, easy bruising, unusual bleeding, pale skin, weakness, feeling light-headed",11
"confusion, hallucinations, severe dizziness or drowsiness, slow or shallow breathing",11
mild headache,11
or oily skin.,11
"nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",11
"swelling in your hands or feet, rapid weight gain",11
changes in your vision,11
"unusual vaginal bleeding, pelvic pain",11
sleep problems,10
or vomiting .,10
"nausea , vomiting , diarrhea",10
"increased thirst, increased urination",10
"severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out",10
"nausea, upset stomach",10
coughing up blood or vomit that looks like coffee grounds,10
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe dizziness",10
"or severe burning or skin irritation such as a rash, itching, pain, or blistering. Less serious side effects may be more likely, and you may have none at all.",10
"severe burning, stinging, or irritation where the medicine was applied",10
increased pain,10
"or possible signs of absorbing this medicine through your skin--weight gain (especially in your face or your upper back and torso), slow wound healing, thinning or discolored skin, increased body hair, muscle weakness, nausea , diarrhea , tiredness, mood changes, menstrual changes, sexual changes. Less serious side effects may be more likely, and you may have none at all.",10
swelling or tenderness in your stomach,10
"rash, pimples",10
"signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia",10
"heart problems--swelling, rapid weight gain, feeling short of breath",10
"low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet",10
"low red blood cells (anemia) - pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet",10
upset stomach,10
"nausea, stomach pain",10
throat irritation,10
"itching, rash",10
"headache, mood changes, feeling tired or irritable",10
"fever, weakness",10
"swelling, weight gain",10
bloating,10
e<arguments.length,10
"nausea, constipation",10
"signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance",10
a lump in your breast,10
flu symptoms,10
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: redness or swelling of the treated area",10
"sneezing, runny or stuffy nose",10
pain or burning under the ribs or in the back,10
difficulty or pain when swallowing,10
or unusual sensations of temperature. Common side effects include: mild irritation where the medication is applied,10
trouble breathing or swallowing,10
"confusion, problems with speech or vision, ringing in your ears",10
},10
var c=a.a[b],10
sudden dizziness or drowsiness after medicine is applied,10
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe drowsiness",10
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe dizziness , blurred vision, fast heart rate",10
"fever, sore throat",10
swelling or redness,10
"headache, dizziness , drowsiness",9
"diarrhea , upset stomach",9
"or headache, muscle pain, joint pain.",9
swelling in your hands and feet,9
nervousness,9
"dizziness , spinning sensation",9
"headache , weakness",9
"or feeling nervous, anxious, or restless.",9
"nervousness , tremors",9
"mood changes, confusion, hallucinations, seizure (convulsions)",9
"severe drowsiness, hallucinations",9
or upset stomach .,9
"chest pain, difficult breathing",9
fast heartbeat,9
lightened color of treated skin,9
fast breathing,9
blistering or peeling skin,9
or pain in your arms or legs.,9
dryness or peeling of treated skin,9
"or changes in your menstrual periods, decreased sex drive.",9
slow heart rate,9
"nervousness , trouble sleeping",9
"or if new symptoms occur. Less serious side effects may be more likely, and you may have none at all.",9
"if your symptoms do not improve after 7 days of treatment, or if you have a fever",9
"numbness , tingling, or burning pain in your hands or feet",9
"dangerously high blood pressure (severe headache , buzzing in your ears, anxiety , shortness of breath)",9
"chest pain, fast or uneven heart rate",9
"pale or yellowed skin, dark colored urine, fever, confusion or weakness",9
"signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes)",9
Group 2 - rash,9
sore throat,9
"liver problems--loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",9
"increased blood pressure--severe headache, blurred vision, pounding in your neck or ears",9
"Group 4 - general ill feeling, extreme tiredness, body aches",9
yellowing of your skin or eyes,9
increased thirst or urination,9
or dark colored stools.,9
"Group 3 - nausea, vomiting, diarrhea, stomach pain",9
diarrhea lasting longer than 2 days,9
hearing loss or ringing in your ears,9
new or unusual pain in your thigh or hip,9
"stomach pain, gas, bloating",9
"easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin",9
"itching, sweating",9
blood in your stools,9
"muscle weakness in your hips, shoulders, neck, and back",9
or drowsiness.,9
fast or slow heartbeats,9
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",9
"nausea , stomach pain",8
"or dry mouth, nose, or throat.",8
"low magnesium-- dizziness , fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling",8
breast pain,8
muscle pain or weakness,8
wheezing or trouble breathing,8
feeling tired or irritable,8
or back pain .,8
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out",8
white patches or sores inside your mouth or on your lips,8
or blurred vision.,8
"weight gain, swelling in your hands or feet",8
feeling hot,8
"jaw pain, numbness, or swelling",8
or changes in the color of treated skin (usually whitening).,8
"severe heartburn, burning pain in your upper stomach, or coughing up blood",8
trouble walking,8
flu-like symptoms,8
an unusual skin rash,8
"dizziness , headache",8
rapid heartbeats,8
or redness or crusting around your hair follicles.,8
or stomach pain.,8
"ringing in your ears, hearing loss",8
rash or hives,8
"increased urination, pain or burning when you urinate",8
"mood changes, confusion, hallucinations",8
or itching in your ears.,8
"ketoacidosis (too much acid in the blood) - nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing",8
breathing problems,8
or hair loss .,8
"cough, chest tightness, wheezing, trouble breathing",8
"swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate",8
dry or cracking skin,8
"drowsiness, dizziness",8
"severe stomach pain, vomiting , or diarrhea",8
"liver problems-- nausea , upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",8
pain in your arms or legs,8
"severe pain in your upper stomach spreading to your back, nausea and vomiting",8
problems with your vision or hearing,8
"muscle or joint pain, bone pain, back pain",8
jaundice (yellowing of your skin or eyes),8
"dizziness , weakness, fast heartbeats",8
or sleep problems ( insomnia ),8
or weight gain.,8
mild dizziness,8
"hallucinations, (see or hearing things that are not real)",8
"low cortisol levels-- nausea , vomiting , loss of appetite, dizziness, worsening tiredness or weakness",8
bloody or tarry stools,8
or muscle pain.,8
"headache, back pain , joint pain, muscle problems",8
skin reactions,8
"mild headache, blurred vision",8
"swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance",8
depression,8
tremors or shaking,8
"or pale skin, feeling light-headed or short of breath, rapid heart rate. Less serious side effects may be more likely, and you may have none at all.",8
mild itching or rash,8
"confusion, changes in your mental state, seizure (convulsions)",8
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: bone pain, muscle weakness",8
"swelling, rapid weight gain, feeling short of breath",8
seizures,8
"high levels of serotonin in the body-- agitation , hallucinations, fever, fast heart rate , overactive reflexes, nausea, vomiting , diarrhea, loss of coordination, fainting",7
"symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself",7
"new or unusual pain in your wrist, back, hip, or thigh",7
changes in skin color,7
loss of balance or coordination,7
or gas.,7
"sudden pain or trouble moving your hip, wrist, or back",7
"dry mouth, or increased salivation",7
"kidney problems - fever, rash, nausea, loss of appetite, joint pain, urinating less than usual, blood in your urine, weight gain",7
"chest pain or pressure, pain spreading to your jaw or shoulder",7
"kidney problems--little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath",7
redness or a hardness and swelling where the shot was given,7
or muscle or bone pain.,7
"dry mouth, or a metallic taste in your mouth",7
"weakness, drowsiness, headache",7
"liver problems - loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",7
"muscle weakness, bone pain",7
"swelling of your face, lips, tongue, or throat. Tell your caregivers right away if you have: a light-headed feeling, like you might pass out",7
low potassium,7
"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",7
or nausea .,7
or skin rash .,7
"nausea, vomiting, loss of appetite",7
"weight gain, puffiness in your face",7
"back pain , joint pain",7
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of too much calcium in your body, such as: nausea , vomiting , constipation",7
"low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady",7
"very bad stomach pain, upset stomach, or throwing up",7
swelling in your ankles or feet,7
new or unusual pain in an arm or leg or in your back,7
"heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating",7
or sleep problems (insomnia).,7
"signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes",7
"sores or white patches in your mouth and throat, pain when swallowing",7
"wheezing, choking, or other breathing problems after using this medicine",7
or sexual problems.,7
or sweating.,7
"new or worsening cough, fever, trouble breathing",7
"signs of circulation problems-- numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes",7
"or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat",7
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or peeling of treated skin areas",7
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: worsening of your skin condition",7
"back pain , joint pain, muscle pain",7
trouble breathing or swallowing (after accidental inhalation of capsaicin odor or dried residue). Common side effects may include pain or a burning sensation that can last for several hours or days (especially after your first use of capsaicin topical).,7
"or white or ""pruned"" appearance of the skin (caused by covering treated skin with a tight bandage or other covering).",7
loss of feeling,7
"severe drowsiness, feeling like you might pass out",7
"serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide",7
"ketoacidosis (too much acid in the blood)-- nausea , vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing",7
"chest pain, shortness of breath",7
bleeding,7
"low red blood cells (anemia) - pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating",7
"increased appetite, weight gain",7
"nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain",7
"swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest",7
feelings of extreme happiness or sadness,7
"stomach pain, nausea",7
"liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",7
skin rash,7
"liver problems--nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",7
Call your doctor at once if you have symptoms of an allergic reaction from two or more of these specific side effect groups: Group 1 - fever,7
thoughts of suicide or hurting yourself,7
muscle spasms,7
feeling restless or irritable,7
"wheezing, chest tightness, trouble breathing",7
vomiting,7
any bruising or bleeding,7
"symptoms of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds",7
"depressed mood, feeling anxious or restless",7
"nausea, vomiting, diarrhea",7
"new or worsening chest pain, pounding heartbeats or fluttering in your chest",7
"severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools",7
"increased blood pressure--severe headache, blurred vision, pounding in your neck or ears, anxiety , nosebleed",7
worsening chest pain,7
red or pink urine,7
"blurred vision, eye pain , or seeing halos around lights",7
"blurred vision, double vision",6
"runny or stuffy nose, sore throat",6
"low white blood cell counts--fever, chills, mouth sores, skin sores, sore throat , cough, trouble breathing",6
"signs of circulation problems - numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes",6
window.dataLayer = window.dataLayer || [],6
"window.dataLayer.push({'gtm.start': new Date().getTime(), event: 'gtm.js'})",6
""",""zone_ids"":""",6
increased urination,6
var _comscore = _comscore || [],6
"or a light-headed feeling, like you might pass out",6
swelling around your midsection,6
"or cold symptoms such as runny or stuffy nose, sneezing, sore throat .",6
"_comscore.push({c1: '2', c2: '9355535'})",6
"mood changes, anxiety , feeling restless or nervous",6
"dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation",6
"sexual problems, impotence",6
(function(){/* Copyright The Closure Library Authors. SPDX-License-Identifier: Apache-2.0 */ 'use strict',6
var g=function(a){var b=0,6
"return function(){return b<a.length?{done:!1,value:a[b++]}:{done:!0}}},l=this||self,m=/^[\w+/_-]+[=]{0,2}$/,p=null,q=function(){},r=function(a){var b=typeof a",6
"if(""object""==b)if(a){if(a instanceof Array)return""array""",6
if(a instanceof Object)return b,6
var c=Object.prototype.toString.call(a),6
"if(""[object Window]""==c)return""object""",6
"if(""[object Array]""==c||""number""==typeof a.length&&""undefined""!=typeof a.splice&&""undefined""!=typeof a.propertyIsEnumerable&&!a.propertyIsEnumerable(""splice""))return""array""",6
"painful or difficult urination, or urinating more often",6
"if(""[object Function]""==c||""undefined""!=typeof a.call&&""undefined""!=typeof a.propertyIsEnumerable&&!a.propertyIsEnumerable(""call""))return""function""}else return""null""",6
"else if(""function""==b&&""undefined""==typeof a.call)return""object""",6
a.prototype=new c,6
a.prototype.constructor=a},6
"var v=function(a,b){Object.defineProperty(l,a,{configurable:!1,get:function(){return b},set:q})}",6
"var y=function(a,b){this.b=a===w&&b||""""",6
"this.a=x},x={},w={}",6
"var aa=function(a,b){a.src=b instanceof y&&b.constructor===y&&b.a===x?b.b:""type_error:TrustedResourceUrl""",6
if(null===p)b:{b=l.document,6
"if((b=b.querySelector&&b.querySelector(""script[nonce]""))&&(b=b.nonce||b.getAttribute(""nonce""))&&m.test(b)){p=b",6
"break b}p=""""}b=p",6
"b&&a.setAttribute(""nonce"",b)}",6
var z=function(){return Math.floor(2147483648*Math.random()).toString(36)+Math.abs(Math.floor(2147483648*Math.random())^+new Date).toString(36)},6
"var A=function(a,b){b=String(b)",6
"confusion, hallucinations, unusual thoughts or behavior",6
"""application/xhtml+xml""===a.contentType&&(b=b.toLowerCase())",6
"return a.createElement(b)},B=function(a){this.a=a||l.document||document}",6
"B.prototype.appendChild=function(a,b){a.appendChild(b)}",6
"var C=function(a,b,c,d,e,f){try{var k=a.a,h=A(a.a,""SCRIPT"")",6
h.async=!0,6
"aa(h,b)",6
k.head.appendChild(h),6
"h.addEventListener(""load"",function(){e()",6
d&&k.head.removeChild(h)}),6
"h.addEventListener(""error"",function(){0<c?C(a,b,c-1,d,e,f):(d&&k.head.removeChild(h),f())})}catch(n){f()}}",6
"var ba=l.atob(""aHR0cHM6Ly93d3cuZ3N0YXRpYy5jb20vaW1hZ2VzL2ljb25zL21hdGVyaWFsL3N5c3RlbS8xeC93YXJuaW5nX2FtYmVyXzI0ZHAucG5n""),ca=l.atob(""WW91IGFyZSBzZWVpbmcgdGhpcyBtZXNzYWdlIGJlY2F1c2UgYWQgb3Igc2NyaXB0IGJsb2NraW5nIHNvZnR3YXJlIGlzIGludGVyZmVyaW5nIHdpdGggdGhpcyBwYWdlLg==""),da=l.atob(""RGlzYWJsZSBhbnkgYWQgb3Igc2NyaXB0IGJsb2NraW5nIHNvZnR3YXJlLCB0aGVuIHJlbG9hZCB0aGlzIHBhZ2Uu""),ea=function(a,b,c){this.b=a",6
this.f=new B(this.b),6
this.a=null,6
this.c=[],6
this.g=!1,6
this.i=b,6
"upper stomach pain, loss of appetite",6
"this.h=c},F=function(a){if(a.b.body&&!a.g){var b= function(){D(a)",6
"l.setTimeout(function(){return E(a,3)},50)}",6
"C(a.f,a.i,2,!0,function(){l[a.h]||b()},b)",6
"a.g=!0}},D=function(a){for(var b=G(1,5),c=0",6
"pale skin, cold hands and feet",6
c++){var d=H(a),6
a.b.body.appendChild(d),6
a.c.push(d)}b=H(a),6
"b.style.bottom=""0""",6
"dry mouth, yawning",6
"b.style.left=""0""",6
